Field,Description,Delay,Type,USA,CHN
nws12_prez_maxupamt,The after the news high minus the price at the time of the news,0,vector,77%,—
nws12_prez_maxupamt,The after the news high minus the price at the time of the news,1,vector,77%,—
nws12_prez_mktcap,Reported market capitalization for the calendar day of the session,0,vector,92%,—
nws12_prez_mktcap,Reported market capitalization for the calendar day of the session,1,vector,92%,—
nws12_prez_mov_vol,30 day moving average session volume,0,vector,91%,—
nws12_prez_mov_vol,30 day moving average session volume,1,vector,91%,—
nws12_prez_newrecord,Tracks whether the news is first instance or a duplicate,0,vector,92%,—
nws12_prez_newrecord,Tracks whether the news is first instance or a duplicate,1,vector,92%,—
nws12_prez_newssess,Index of session in which the news was reported,0,vector,92%,—
nws12_prez_newssess,Index of session in which the news was reported,1,vector,92%,—
nws12_prez_open_vol,Main open volume,0,vector,91%,—
nws12_prez_open_vol,Main open volume,1,vector,91%,—
nws12_prez_opengap,(DayOpen - PrevClose) / PrevClose.,0,vector,92%,—
nws12_prez_opengap,(DayOpen - PrevClose) / PrevClose.,1,vector,92%,—
nws12_prez_peratio,Reported price to earnings ratio for the calendar day of the session,0,vector,72%,—
nws12_prez_peratio,Reported price to earnings ratio for the calendar day of the session,1,vector,72%,—
nws12_prez_postvwap,Post session volume weighted average price,0,vector,70%,—
nws12_prez_postvwap,Post session volume weighted average price,1,vector,70%,—
nws12_prez_prev_vol,Previous day's session volume,0,vector,79%,—
nws12_prez_prev_vol,Previous day's session volume,1,vector,79%,—
nws12_prez_prevclose,Previous trading day's close price,0,vector,92%,—
nws12_prez_prevclose,Previous trading day's close price,1,vector,92%,—
nws12_prez_prevday,Percent change between the previous day's open and close,0,vector,92%,—
nws12_prez_prevday,Percent change between the previous day's open and close,1,vector,92%,—
nws12_prez_prevwap,Pre session volume weighted average price,0,vector,77%,—
nws12_prez_prevwap,Pre session volume weighted average price,1,vector,77%,—
nws12_prez_provider,index of name of the news provider,0,vector,92%,—
nws12_prez_provider,index of name of the news provider,1,vector,92%,—
nws12_prez_range,Session High Price - Session Low Price) / Session Low Price.,0,vector,77%,—
nws12_prez_range,Session High Price - Session Low Price) / Session Low Price.,1,vector,77%,—
nws12_prez_rangeamt,Session High Price - Session Low Price,0,vector,77%,—
nws12_prez_rangeamt,Session High Price - Session Low Price,1,vector,77%,—
nws12_prez_rangestddev,(RangeAmt-AvgRange)/RangeStdDev, where AvgRange is the average of the daily range, and RangeStdDev is one standard deviation for the daily range, both for 30 calendar days,0,vector,72%,—
nws12_prez_rangestddev,(RangeAmt-AvgRange)/RangeStdDev, where AvgRange is the average of the daily range, and RangeStdDev is one standard deviation for the daily range, both for 30 calendar days,1,vector,72%,—
nws12_prez_reportsess,Index of Session on which the spreadsheet is reporting,0,vector,92%,—
nws12_prez_reportsess,Index of Session on which the spreadsheet is reporting,1,vector,92%,—
nws12_prez_result1,Percent change between the price at the time of the news release to the price at the close of the session,0,vector,77%,—
nws12_prez_result1,Percent change between the price at the time of the news release to the price at the close of the session,1,vector,77%,—
nws12_prez_result2,Percent change between the price at the time of the news release to the price at the close of the session,0,vector,77%,—
nws12_prez_result2,Percent change between the price at the time of the news release to the price at the close of the session,1,vector,77%,—
nws12_prez_result_vs_index,((EODClose - TONLast) / TONLast) - ((SPYClose - SPYLast) / SPYLast),0,vector,77%,—
nws12_prez_result_vs_index,((EODClose - TONLast) / TONLast) - ((SPYClose - SPYLast) / SPYLast),1,vector,77%,—
nws12_prez_short_interest,Total number of shares sold short divided by total number of shares outstanding,0,vector,81%,—
nws12_prez_short_interest,Total number of shares sold short divided by total number of shares outstanding,1,vector,81%,—
nws12_prez_sl,Whether a long or short position would have been more advantageous: If (EODHigh - Last) > (Last - EODLow) Then LS = 1; If (EODHigh - Last) = (Last - EODLow) Then LS= 0; If (EODHigh - Last) < (Last - EODLow) Then LS = -1.,0,vector,92%,—
nws12_prez_sl,Whether a long or short position would have been more advantageous: If (EODHigh - Last) > (Last - EODLow) Then LS = 1; If (EODHigh - Last) = (Last - EODLow) Then LS= 0; If (EODHigh - Last) < (Last - EODLow) Then LS = -1.,1,vector,92%,—
nws12_prez_spyclose,Price of SPY at close of session,0,vector,77%,—
nws12_prez_spyclose,Price of SPY at close of session,1,vector,77%,—
nws12_prez_spylast,Last Price of the SPY at the time of the news,0,vector,77%,—
nws12_prez_spylast,Last Price of the SPY at the time of the news,1,vector,77%,—
nws12_prez_tonhigh,Highest price reached during the session before the time of news,0,vector,77%,—
nws12_prez_tonhigh,Highest price reached during the session before the time of news,1,vector,77%,—
nws12_prez_tonlast,Price at the time of news,0,vector,77%,—
nws12_prez_tonlast,Price at the time of news,1,vector,77%,—
nws12_prez_tonlow,Lowest price reached during the session before the time of the news,0,vector,77%,—
nws12_prez_tonlow,Lowest price reached during the session before the time of the news,1,vector,77%,—
nws12_prez_vol_ratio,Curr_Vol / Mov_Vol,0,vector,78%,—
nws12_prez_vol_ratio,Curr_Vol / Mov_Vol,1,vector,78%,—
nws12_prez_volstddev,(CurrentVolume - AvgVol)/VolStDev, where AvgVol is the average of the daily volume, and VolStdDev is one standard deviation for the daily volume, both for 30 calendar days,0,vector,77%,—
nws12_prez_volstddev,(CurrentVolume - AvgVol)/VolStDev, where AvgVol is the average of the daily volume, and VolStdDev is one standard deviation for the daily volume, both for 30 calendar days,1,vector,77%,—
